Ensembl Gene ID	Gene ID	
ENSG00000159111	124995	
ENSG00000159197	9992	
ENSG00000159217	10642	
ENSG00000159267	3141	
ENSG00000159289	342096	
ENSG00000159618	221188	
ENSG00000159640	1636	
ENSG00000159708	55282	
ENSG00000159761	388284	
ENSG00000159873	150275	
ENSG00000160284	84221	
ENSG00000160886	54742	
ENSG00000161036	222229	
ENSG00000161091	126321	
ENSG00000161594	317719	
ENSG00000161798	362	
ENSG00000161800	29127	
ENSG00000161860	256126	
ENSG00000161921	58191	
ENSG00000162139	10825	
ENSG00000162148	220004	
ENSG00000162191	51035	
ENSG00000162222	283237	
ENSG00000162227	10629	
ENSG00000162366	10158	
ENSG00000162444	116362	
ENSG00000162545	55450	
ENSG00000162598	127795	
ENSG00000162620	127255	
ENSG00000162643	126820	
ENSG00000162736	23385	
ENSG00000162753	284525	
ENSG00000162779	126859	
ENSG00000162782	163589	
ENSG00000162814	128153	
ENSG00000162878	91461	
ENSG00000162923	80232	
ENSG00000162951	347730	
ENSG00000163001	112942	
ENSG00000163006	165055	
ENSG00000163071	132671	
ENSG00000163114	5161	
ENSG00000163206	4184	
ENSG00000163331	92196	
ENSG00000163424	152405	
ENSG00000163440	132954	
ENSG00000163516	55139	
ENSG00000163528	131474	
ENSG00000163535	151246	
ENSG00000163645	131831	
ENSG00000163661	5806	
ENSG00000163818	54585	
ENSG00000163877	79753	
ENSG00000163888	94032	
ENSG00000164070	22824	
ENSG00000164081	51368	
ENSG00000164105	8819	
ENSG00000164323	57587	
ENSG00000164342	7098	
ENSG00000164398	23305	
ENSG00000164611	9232	
ENSG00000164708	5224	
ENSG00000164743	157773	
ENSG00000164744	256979	
ENSG00000164880	26173	
ENSG00000164885	1020	
ENSG00000164902	51808	
ENSG00000164972	84688	
ENSG00000165046	137994	
ENSG00000165059	5568	
ENSG00000165076	136242	
ENSG00000165480	221150	
ENSG00000165506	55172	
ENSG00000165509	139081	
ENSG00000165555	122945	
ENSG00000165568	83592	
ENSG00000165583	6758	
ENSG00000165584	10214	
ENSG00000165617	51339	
ENSG00000165629	509	
ENSG00000165678	27069	
ENSG00000165698	11092	
ENSG00000165775	65991	
ENSG00000165807	145376	
ENSG00000165879	10023	
ENSG00000166024	27291	
ENSG00000166049	139135	
ENSG00000166069	145942	
ENSG00000166086	83700	
ENSG00000166118	219938	
ENSG00000166170	9529	
ENSG00000166171	25911	
ENSG00000166226	10576	
ENSG00000166246	146562	
ENSG00000166352	119710	
ENSG00000166394	51700	
ENSG00000166483	7465	
ENSG00000166503	50810	
ENSG00000166578	115811	
ENSG00000166595	51647	
ENSG00000166669	80063	
ENSG00000166796	3948	
ENSG00000166851	5347	
ENSG00000166855	10845	
ENSG00000166869	63928	
ENSG00000166928	84689	
ENSG00000166947	2038	
ENSG00000166997	245812	
ENSG00000167098	140732	
ENSG00000167139	161514	
ENSG00000167173	56905	
ENSG00000167182	6668	
ENSG00000167195	653641	
ENSG00000167216	83473	
ENSG00000167280	64772	
ENSG00000167395	9726	
ENSG00000167468	2879	
ENSG00000167483	199786	
ENSG00000167523	124045	
ENSG00000167554	162963	
ENSG00000167601	558	
ENSG00000167617	148170	
ENSG00000168010	89849	
ENSG00000168062	116071	
ENSG00000168078	55872	
ENSG00000168300	115294	
ENSG00000168439	10963	
ENSG00000168454	84203	
ENSG00000168566	154007	
ENSG00000168734	11142	
ENSG00000168757	64591	
ENSG00000168792	116236	
ENSG00000168806	9836	
ENSG00000168894	51255	
ENSG00000168913	375704	
ENSG00000169018	10116	
ENSG00000169059	51481	
ENSG00000169062	65110	
ENSG00000169217	10421	
ENSG00000169223	10960	
ENSG00000169375	25942	
ENSG00000169402	728194	
ENSG00000169432	6335	
ENSG00000169717	140625	
ENSG00000169800	159163	
ENSG00000169989	201798	
ENSG00000170092	442590	
ENSG00000170099	866	
ENSG00000170222	56985	
ENSG00000170312	983	
ENSG00000170374	121340	
ENSG00000170448	152518	
ENSG00000170469	202051	
ENSG00000170500	164832	
ENSG00000170606	3308	
ENSG00000170613	153745	
ENSG00000170627	121355	
ENSG00000170748	27288	
ENSG00000170832	84669	
ENSG00000170860	27258	
ENSG00000170948	85509	
ENSG00000171053	160065	
ENSG00000171109	55669	
ENSG00000171150	9655	
ENSG00000171161	79894	
ENSG00000171428	9	
ENSG00000171444	4163	
ENSG00000171478	729201	
ENSG00000171489	389852	
ENSG00000171495	133558	
ENSG00000171634	2186	
ENSG00000171759	5053	
ENSG00000171793	1503	
ENSG00000171794	8433	
ENSG00000171813	170394	
ENSG00000171843	4300	
ENSG00000171864	23627	
ENSG00000171872	128209	
ENSG00000171989	92483	
ENSG00000172073	200523	
ENSG00000172264	140733	
ENSG00000172288	9085	
ENSG00000172339	199857	
ENSG00000172352	253175	
ENSG00000172367	79849	
ENSG00000172404	150353	
ENSG00000172661	253725	
ENSG00000172667	64393	
ENSG00000172780	339122	
ENSG00000172915	26960	
ENSG00000173013	257236	
ENSG00000173110	3310	
ENSG00000173262	144195	
ENSG00000173272	653784	
ENSG00000173401	256710	
ENSG00000173421	339834	
ENSG00000173557	339778	
ENSG00000173611	286205	
ENSG00000173678	100310812	
ENSG00000173699	130560	
ENSG00000173706	57493	
ENSG00000173894	84733	
ENSG00000174007	84984	
ENSG00000174015	220082	
ENSG00000174137	152877	
ENSG00000174898	257062	
ENSG00000174989	26259	
ENSG00000175265	23015	
ENSG00000175520	50613	
ENSG00000175575	80227	
ENSG00000175646	5619	
ENSG00000175711	146712	
ENSG00000175718	139804	
ENSG00000175785	145270	
ENSG00000175792	8607	
ENSG00000175928	57633	
ENSG00000176014	84617	
ENSG00000176136	4161	
ENSG00000176160	124535	
ENSG00000176256	127540	
ENSG00000176438	161176	
ENSG00000176476	112869	
ENSG00000176681	9884	
ENSG00000176746	158809	
ENSG00000176774	286514	
ENSG00000176809	374819	
ENSG00000176890	7298	
ENSG00000176988	158521	
ENSG00000177143	1068	
ENSG00000177202	171169	
ENSG00000177303	57513	
ENSG00000177324	139105	
ENSG00000177483	375316	
ENSG00000177504	51480	
ENSG00000177673	165100	
ENSG00000177683	168451	
ENSG00000177733	10949	
ENSG00000177889	7334	
ENSG00000177938	93661	
ENSG00000177947	113746	
ENSG00000177963	60626	
ENSG00000177990	283417	
ENSG00000177992	286234	
ENSG00000178021	388951	
ENSG00000178053	4291	
ENSG00000178105	1662	
ENSG00000178537	788	
ENSG00000178645	282966	
ENSG00000178662	80034	
ENSG00000178804	132243	
ENSG00000178882	100533183; 144347	
ENSG00000179051	55920	
ENSG00000179058	375759	
ENSG00000179071	220388	
ENSG00000179133	256815	
ENSG00000179148	59344	
ENSG00000179348	2624	
ENSG00000179361	10620	
ENSG00000179526	81858	
ENSG00000179636	122664	
ENSG00000179909	7710	
ENSG00000179914	55600	
ENSG00000179950	22827	
ENSG00000180318	8092	
ENSG00000180357	23060	
ENSG00000180543	85453	
ENSG00000180697	152065	
ENSG00000180785	143503	
